number_of_turns,score,id,match_id,player_id,outcome
22,53.653007765063826,0001b311-44dc-474d-b0e5-d07b97567d92,41adec0b-7b81-443a-970e-93a893ede292,a3f72674-d7c6-4e02-a4a9-9f0a77953a1d,WIN
10,65.57102189751086,0002908c-0480-4de8-919f-d06619883a77,487887d5-29d2-442b-80e9-8f08d294bea8,46dd607d-b131-4819-90b7-52fb3a6ea73c,WIN
21,89.93025041601689,000b273e-3b0a-4c98-97b7-d57f455dc5ef,9f356d9d-fe81-449f-83ab-96105e3ef609,4300161d-4439-466d-a668-da6c11d30567,WIN
18,42.81104401174252,000e57aa-d726-4dbc-9ebe-2403500a5235,64cf8997-f4b3-417e-83cf-12df676b7e94,1755a8ca-79fc-4a53-8ee1-5b5f4d05890e,LOSS
15,79.69821499156622,0014f2db-79d3-41fc-be6a-68983576cba9,75629655-a591-4a42-bc95-56788a623131,7fe10b25-cc4b-48ef-8a57-377a8ddd7767,WIN
23,92.13168337820844,0017fa8d-1042-4572-be27-dca01c8bf98e,21905464-5c0b-4bf9-b014-583a44f50918,a3c78ad3-25b4-4f85-bbf7-dfb99d8402d6,WIN
15,3.224646429328493,001ac1e4-a520-4d39-86aa-40267dd767a0,899a7696-7718-405c-b5b7-61029187fe1c,d82d578f-9dcb-44c8-aa54-20c93c9a80b3,LOSS
28,7.548164422015429,001edc1b-90bb-4183-b654-e977ca463616,3ba3db8b-438b-4ae6-a773-0d5cede63f04,b0e80362-a575-46ad-a984-c3ee20536964,LOSS
10,21.5824564689952,0022c319-56d5-48c5-8655-e9c3ea49ee7f,ebe71d6c-29b3-4a35-8915-e9450bd55980,075bd4cc-65bd-4335-97aa-d675d62853e2,LOSS
25,0.8013108052336565,00246b0c-6516-4e82-9f94-eb2486b122ad,b001d6e9-4750-4485-ae2f-d6f24ede8285,ba722633-cc55-439d-9cf5-6a49ec7f848e,LOSS
18,27.091687774675815,002e50e6-f7b4-4df1-bc80-0b04e3cf547f,48406696-342d-43e6-b411-4b7704668d8c,6be726b3-68d7-4fbd-982f-f70b98ea5d08,LOSS
14,9.679712986690976,003096a8-96c6-48e6-9bf9-c7e48a097b94,8e3c285b-dbb4-4e80-9e59-1433c0937b8c,942d95e9-f3b4-428c-9da1-de53913b8466,LOSS
29,46.877984958425685,0034ef6c-8e78-4e1c-94c1-d17b8b00421b,7ca4ff89-387d-48ce-871a-1e3272f8a726,3bbd7dd0-a5d1-49bd-80c3-6f8858828867,LOSS
28,12.651181969331413,003654d9-58bd-4922-8aae-59b74fab7445,72cd0793-eabd-4866-b1b9-ba70c310332f,d7d41282-84f4-4dbd-bf8d-b424005bcee5,LOSS
14,92.15379620316003,0036bebf-29ef-4086-9b0f-1b94ad1ab269,719f9893-e9b4-4cd2-87c8-359cbfda961c,7ce67872-0767-4874-81a3-c93d6a128cda,WIN
19,13.853776909403624,0036d307-78b5-4750-9580-6a60e15363b5,094ff06e-2577-47bf-929e-bbaafc1bb46e,6be4e4d5-0a27-434b-b41c-cde970ab1622,LOSS
12,1.8859954875041778,00398353-4608-4542-b89c-6181cb039a98,6c52e90d-77b9-47fe-9c1c-2951745ba35e,935135b4-2eec-49be-9ecc-6b5b1f81970c,LOSS
26,2.59126809008895,003b1ac6-1391-4cb2-adb8-9020ccad5369,5eaaefa2-45f3-45c0-8954-c6e07b525f04,9d8c5e26-4539-496e-af15-43dd0faa3919,LOSS
28,76.80656932355443,00446bf8-1fbb-4c17-a430-2421f7a06904,b5431c21-b86e-45c5-8259-343437251277,bb7b73ee-ea22-444b-be6c-216076d8cbc4,WIN
14,56.47807151977823,00448f7c-8923-4ae2-80d1-b1817632e324,8c08c27e-fc5a-40e4-a70d-c84fe7f5831d,55638899-25ca-471f-9522-68332ea7fd0b,WIN
26,8.487727312034965,004763d5-037f-498c-a8ba-b81f15ca2ad4,710d9e82-0251-4489-8d19-5addd2f6c738,2159949e-5e69-4ab1-b526-5f4d19a5a180,LOSS
11,20.245912105519366,004b8581-b127-4a02-b3a8-2c82b079fb74,a23e07a9-be6a-47aa-9cbc-bfed8ad9e4eb,751831b9-16da-4ff0-94ef-01690e23c5ba,LOSS
22,51.92272725602983,004c9f0d-803e-4bbd-9ffb-2403c9276d0d,73886cd0-2b10-4f23-b8fb-06df78bd4cda,aaf1ea41-aa19-4bf4-961c-1cd66b6c88dd,WIN
21,75.4673917971315,004fcfbd-9f4a-470a-92be-cbece9546986,e785dd1e-dde6-4f5e-8df0-19ecfaf9786e,751831b9-16da-4ff0-94ef-01690e23c5ba,WIN
14,3.5944349458342053,00560e20-cf99-4b25-926a-369e4b3a1939,f75affe1-00f0-4063-af55-8c6a5d9bf311,b97aff82-5a3e-49f1-b55c-7c0945f93bc0,LOSS
15,27.41064716234677,005630e8-4aed-4439-844f-1e61b24c1ce4,dd21f156-ac40-48cf-b830-7640be3258e2,9e265c61-417c-4348-9278-455da3712876,LOSS
22,23.381851155690647,005689dc-1424-49b6-a204-3c64795fd72a,a3c9fddc-ca1f-40a0-b6cb-63f7165eee66,f071778f-9c9a-4a32-8c07-a19d5799d7ab,LOSS
17,54.280093384173895,005b0fd8-8ed8-4a59-b06e-487e1674f569,e1306679-6a68-4799-84cf-a8ca6a21ba79,07f9918d-b07d-4031-a042-fe29c806566c,WIN
17,90.2424327692068,005cea39-0266-4b32-9fa8-5c0ef2f79fc6,71fd4510-71a2-4946-b38b-051ecac23ea5,7c7dbcc1-9898-4ae6-81e6-a9e3ba23fc45,WIN
11,95.225315886268,006f13cc-5439-4078-bd27-1498ebc2c249,565d03aa-1b48-4fba-be6c-22ebc0d767da,7bf6190a-883a-4fc4-8ca9-053fde0a4021,WIN
